username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VeneXtremeTours;2017-02-16 10:00;0;0;"Hosteltur nos trae las últimas noticias en el mundo del turismo hosteltur: Hoy estamos en comunica2 , Congreso Inte… https:// twitter.com/i/web/status/8 32151451749273601 …";;;;"832152652322594816";https://twitter.com/VeneXtremeTours/status/832152652322594816
beatriz_ia;2017-02-16 10:00;0;3;"Va a empezar la charla sobre Nuevas Narrativas en @comunica2 con @miqueldelpozo entre otros. Avisados estáis. http:// comunica2.webs.upv.es /";;@comunica2 @miqueldelpozo;;"832152620420710400";https://twitter.com/beatriz_ia/status/832152620420710400
noelia_20fdez;2017-02-16 10:00;0;2;"No te conocia @borjateran pero me hago fan desde ya! @comunica2 #comunica2017 pic.twitter.com/1TOS8SGEfO";;@borjateran @comunica2;#comunica2017;"832152567702495232";https://twitter.com/noelia_20fdez/status/832152567702495232
comunica2;2017-02-16 09:59;0;1;"¿Ya conocéis a @borjateran ? ¡Nuestro presentador del #comunica2017 ! #Gandia";;@borjateran;#comunica2017 #Gandia;"832152454405971968";https://twitter.com/comunica2/status/832152454405971968
emparoltra;2017-02-16 09:59;0;1;"@UPV @comunica2 molt mal!";;@UPV @comunica2;;"832152431362527232";https://twitter.com/emparoltra/status/832152431362527232
MarvelCrowd;2017-02-16 09:59;0;3;"Uy mira! Un influencer presentando @comunica2 #comunica2017 @borjateran @martacelada @EvaAnta pic.twitter.com/LWi7zJqfXz";;@comunica2 @borjateran @martacelada @EvaAnta;#comunica2017;"832152417399607297";https://twitter.com/MarvelCrowd/status/832152417399607297
immacersan;2017-02-16 09:59;0;4;"Estem a @comunica2 amb xarxes socials bolcades en la comunicació #comunica2017 pic.twitter.com/7cNpQiS5dP";;@comunica2;#comunica2017;"832152374953246720";https://twitter.com/immacersan/status/832152374953246720
Achejiji;2017-02-16 09:56;1;1;"Aquí llega la mandanga. #comunica2";;;#comunica2;"832151629596131329";https://twitter.com/Achejiji/status/832151629596131329
comunica2;2017-02-16 09:55;4;3;""Las redes sociales son imprescindibles para el desarrollo profesional" sentencia @jesalbaEPSG en el #comunica2017";;@jesalbaEPSG;#comunica2017;"832151506652643329";https://twitter.com/comunica2/status/832151506652643329
josemaprieto;2017-02-16 09:55;5;4;"La que habéis liado: #Comunica2017 es tendencia. Reputación de ciudad, potencia en redes @comunica2 @campusgandiaupv.";;@comunica2 @campusgandiaupv;#Comunica2017;"832151504815550465";https://twitter.com/josemaprieto/status/832151504815550465
hosteltur;2017-02-16 09:55;3;8;"Hoy estamos en @comunica2 , Congreso Internacional sobre Redes Sociales en #Gandia . Seguidnos con el hashtag #comunica2017 pic.twitter.com/a5wXgJb1Sk";;@comunica2;#Gandia #comunica2017;"832151451749273601";https://twitter.com/hosteltur/status/832151451749273601
BiblioUPV;2017-02-16 09:55;0;3;"Les #bibliotequesupv també estan hui al #comunica2 ... pots seguir-ho en streaming a http:// comunica2.webs.upv.es pic.twitter.com/QyaRNGhwXv";;;#bibliotequesupv #comunica2;"832151412545093633";https://twitter.com/BiblioUPV/status/832151412545093633
comunica2;2017-02-16 09:55;0;1;". @jesalbaEPSG repasa cómo usamos Facebook, Twitter, LinkedIn, Youtube, Flickr... #comunica2017 #Gandia";;@jesalbaEPSG;#comunica2017 #Gandia;"832151336095535104";https://twitter.com/comunica2/status/832151336095535104
comunica2;2017-02-16 09:53;1;5;". @MargaTwita : " #comunica2017 es un proyecto en el que el cariño, la pasión, las risas y el buen humor son fundamentales" #Gandia";;@MargaTwita;#comunica2017 #Gandia;"832150926496559105";https://twitter.com/comunica2/status/832150926496559105
BertiBarber;2017-02-16 09:53;0;3;"Estar en el #Comunica2 y no ver a @jordipuig y @ZoaSanz #antesmolabais";;@jordipuig @ZoaSanz;#Comunica2 #antesmolabais;"832150898465972224";https://twitter.com/BertiBarber/status/832150898465972224
saraycerro;2017-02-16 09:53;6;20;"¡Somos TT! #comunica2017 @comunica2 pic.twitter.com/K3soeWWkip";;@comunica2;#comunica2017;"832150875602874368";https://twitter.com/saraycerro/status/832150875602874368
Edita_Bote;2017-02-16 09:52;0;6;"Mis compis @EvaAnta y @martacelada ya están en @comunica2 y hablarán de #Instagram . #comunica2017 #RedesSociales #InfluencerMarketing";;@EvaAnta @martacelada @comunica2;#Instagram #comunica2017 #RedesSociales #InfluencerMarketing;"832150599634391040";https://twitter.com/Edita_Bote/status/832150599634391040
comunica2;2017-02-16 09:51;2;2;". @rebeca10ten destaca la labor de los voluntarios y estudiantes de @campusgandiaupv y @MargaTwita agradece a patrocinadores y @aj_gandia";;@rebeca10ten @campusgandiaupv @MargaTwita @aj_gandia;;"832150421506502656";https://twitter.com/comunica2/status/832150421506502656
