username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
iracypsicologia;2019-03-31 23:00;0;0;"In love con @jordievole por preguntarle sobre sus conocimientos de #Sexología al #PapaFrancisco @salvadostv @laSextaTV #SalvadosPapa";;@jordievole @salvadostv @laSextaTV;#Sexolog #PapaFrancisco #SalvadosPapa;"1112459605307805698";https://twitter.com/iracypsicologia/status/1112459605307805698
Sergio_twitea;2019-03-31 23:00;1;1;"Felicidades por este trabajo de #SalvadosPapa . Enhorabuena al equipo. Las respuestas de Francisco siempre directas y sin ser evasivas.";;;#SalvadosPapa;"1112459601377722368";https://twitter.com/Sergio_twitea/status/1112459601377722368
JesusNogues22;2019-03-31 23:00;1;2;"“El mundo se olvidó de llorar." #SalvadosPapa";;;#SalvadosPapa;"1112459593572122631";https://twitter.com/JesusNogues22/status/1112459593572122631
gonzalobusan;2019-03-31 23:00;2;3;"Ha sido decir que "una sociedad no puede sonreír al futuro teniendo escondidos a sus muertos" (en referencia a la memoria histórica), y a muchos se os ha caído el mito del Papa Francisco. Bueno, en realidad, se os ha caído la careta. #SalvadosPapa";;;#SalvadosPapa;"1112459587897167876";https://twitter.com/gonzalobusan/status/1112459587897167876
aciprensa;2019-03-31 23:00;101;261;"Entrevistado por el periodista Jordi Évole, el Papa Francisco señaló además que las mujeres embarazadas deben recibir “un trabajo de acompañamiento” #SalvadosPapa http:// bit.ly/2FMJ9wQ";;;#SalvadosPapa;"1112459560554545152";https://twitter.com/aciprensa/status/1112459560554545152
considerame;2019-03-31 23:00;0;0;"TTs [23:00] #SalvadosPapa Huesca Benzema #GHDÚODBT12 Iglesia https:// cards.twitter.com/cards/18ce541f bd4/4xho6 …";;;#SalvadosPapa #GHD;"1112459558306361344";https://twitter.com/considerame/status/1112459558306361344
CastrinCompany;2019-03-31 22:59;0;0;"Resumen en 2 tweets del #SalvadosPapa @ToniElSucio @Nega_Maiz https:// twitter.com/Nega_Maiz/stat us/1112452465868394499 …";;@ToniElSucio @Nega_Maiz;#SalvadosPapa;"1112459519521669120";https://twitter.com/CastrinCompany/status/1112459519521669120
MariusAguilera;2019-03-31 22:59;7;35;"Diu el Papa que un homosexual és "raro". Al segle XXI és més "raro" un Papa que un homosexual. #SalvadosPapa";;;#SalvadosPapa;"1112459516359200773";https://twitter.com/MariusAguilera/status/1112459516359200773
rojogmc;2019-03-31 22:59;0;0;"¿De verdad importa tanto lo que piense el jefe de un negocio montado hace dos mil años sobre una novela y un ser imaginario que da para TT? Venga! Aquí va el mío, que yo también opino #SalvadosPapa";;;#SalvadosPapa;"1112459515075670016";https://twitter.com/rojogmc/status/1112459515075670016
Gotzon86Gotzon;2019-03-31 22:59;0;1;"Pues para creer en seres imaginarios el Francisco este no desvaría demasiado #SalvadosPapa";;;#SalvadosPapa;"1112459510759727104";https://twitter.com/Gotzon86Gotzon/status/1112459510759727104
yamilomba;2019-03-31 22:59;0;7;"#SalvadosPapa no somos raros/as, y no necesitamos un psicólogo ni un psiquiatra. @Pontifex_es necesitamos unos padres que nos quieran tal cual somos! pic.twitter.com/iY694JKAvi";;@Pontifex_es;#SalvadosPapa;"1112459506628395008";https://twitter.com/yamilomba/status/1112459506628395008
Jofranmoga;2019-03-31 22:59;0;3;"He disfrutado con la entrevista de #SalvadosPapa . Quizás no era lo que esperaba en tanto en cuanto al contenido y profundidad, sin embargo por lo general, ha dejado unas cuantas declaraciones y reflexiones de las cuales coincido y otras tantas, disiento. Enhorabuena a @salvadostv";;@salvadostv;#SalvadosPapa;"1112459490631315458";https://twitter.com/Jofranmoga/status/1112459490631315458
Dr_Redons;2019-03-31 22:59;1;1;"#SalvadosPapa es primer TT en España (superando al partido del Madrid) y tercer TT en todo el mundo. Televisión que trasciende pic.twitter.com/RZ7NBQywJq";;;#SalvadosPapa;"1112459487749853185";https://twitter.com/Dr_Redons/status/1112459487749853185
ChismaGuti;2019-03-31 22:59;0;2;"No se le pueden pedir peras al olmo. En estas instituciones los cambios son lentos, pero de momento van en la buena dirección. #SalvadosPapa";;;#SalvadosPapa;"1112459474084773891";https://twitter.com/ChismaGuti/status/1112459474084773891
iracypsicologia;2019-03-31 22:59;0;0;"Pues yo no diría qué bien, yo digo ya está bien. Las leyes que cambien y los abusos sexuales no prescriban y la ley religiosa que estudie #Sexología . No me he movido ni un pelo de estar frente al televisor #SalvadosPapa @jordievole @salvadostv @laSextaTV https:// twitter.com/salvadostv/sta tus/1112448487516504064 …";;@jordievole @salvadostv @laSextaTV;#Sexolog #SalvadosPapa;"1112459455424315393";https://twitter.com/iracypsicologia/status/1112459455424315393
socialpi_es;2019-03-31 22:59;3;3;"¿Qué opinión tienes del Papa Francisco? #SalvadosPapa";;;#SalvadosPapa;"1112459444795916288";https://twitter.com/socialpi_es/status/1112459444795916288
RamosSnk;2019-03-31 22:59;0;0;"Si tenía duda de cuál es el trabajo más difícil de este mundo en este momento, me queda confirmado: ser Papa en el siglo XXI #SalvadosPapa";;;#SalvadosPapa;"1112459444338737152";https://twitter.com/RamosSnk/status/1112459444338737152
aperezymadrid;2019-03-31 22:59;0;0;"#SalvadosPapa Fabulosa entrevista. Es Francisco tal cual. Me gusta una entrevista en la que el entrevistado no es interrumpido. Desmonta los chismes sobre Francisco";;;#SalvadosPapa;"1112459424822632453";https://twitter.com/aperezymadrid/status/1112459424822632453
CristinaLosada;2019-03-31 22:59;1;3;"Pasan lentos porque no podéis sacar nada morboso ni sensacionalista. Aplicaros el consejo del Papa y no caigáis en: 1) Desinformación 2) Calumnia 3) Difamación 4) Coprofilia #SalvadosPapa https:// twitter.com/el_pais/status /1112456158814654465 …";;;#SalvadosPapa;"1112459421257482240";https://twitter.com/CristinaLosada/status/1112459421257482240
_Dragon_Noir;2019-03-31 22:59;0;1;"¡¡A desacreditar la entrevista, que no conviene lo que dice en ella!! #SalvadosPapa https:// twitter.com/el_pais/status /1112456158814654465 …";;;#SalvadosPapa;"1112459408141926400";https://twitter.com/_Dragon_Noir/status/1112459408141926400
gsemprunmdg;2019-03-31 22:59;0;0;"INDEPENDENT 01A @ObjetivoPodemos #FelizLunes #SalvadosPapa infalible truño #Portada #Portadas #EnPortada pic.twitter.com/YNdQwF1FT2";;@ObjetivoPodemos;#FelizLunes #SalvadosPapa #Portada #Portadas #EnPortada;"1112459404559962112";https://twitter.com/gsemprunmdg/status/1112459404559962112
